gene,log2FC,pval,mean_a,mean_b,padj,-log10p,significant
MRPL21,0.2759675931743381,0.0002958724739844506,-0.18860163642882896,0.08736595674550915,0.48131514727927144,3.5288954368424883,False
LOC488685,0.3720404309629815,0.0003129351204698341,-0.1385195270596556,0.23352090390332592,0.48131514727927144,3.504545693580162,True
XKRX,0.37828755275114767,0.00030580732966628874,-0.1026495802746202,0.2756379724765275,0.48131514727927144,3.5145521095205763,True
LOC480535,0.24279645561635854,0.0004076977726195038,-0.2268140999349525,0.015982355681406046,0.48131514727927144,3.389661661228003,False
OR08C02,0.3800074679070362,0.00040368695679127457,-0.12067514206013252,0.2593323258469037,0.48131514727927144,3.393955282507166,True
UNC45B,0.27275091455307654,0.0003138619298237779,-0.2079846397146393,0.06476627483843722,0.48131514727927144,3.5032613592606174,False
MKS1,0.2869946888562193,0.00041886879159846666,0.24430203719932925,0.5312967260555486,0.48131514727927144,3.377921996147443,False
CCDC48,0.2236908042457204,0.0006299373461590961,0.07220574790453395,0.29589655215025434,0.5065091254005741,3.2007026435154655,False
LOC481634,0.9284189904819753,0.0005380852442116794,-0.8009153990088658,0.1275035914731095,0.5065091254005741,3.2691489173482475,True
SLC23A3,0.2676773828348201,0.0007305270139051241,0.06403354509618615,0.33171092793100626,0.5279780781157704,3.1363637198076986,False
RPS19BP1,0.31411885572268783,0.0008955574524548757,-0.23165013920595498,0.08246871651673286,0.5548979185054713,3.0479065477448652,True
FGF21,0.3227952355053335,0.001012394481957645,0.11835343367217702,0.4411486691775105,0.5548979185054713,2.9946502306234994,True
SOST,0.3160154205473767,0.0011469984299317096,-0.0488403612548873,0.2671750592924894,0.5548979185054713,2.9404371765821335,True
LOC609308,0.17775075913819394,0.0014661700601458372,0.027591133027458456,0.2053418921656524,0.5548979185054713,2.8338156532286582,False
UBE2I,0.2622480445001398,0.0010323072191057926,0.012777811461595638,0.2750258559617354,0.5548979185054713,2.9861910355511565,False
ZMYM2,0.0888750616594372,0.000956210786012686,-0.053448307243611014,0.0354267544158262,0.5548979185054713,3.0194463617912732,False
ACTL8,0.2578043816286847,0.0012145881580149908,0.11391048840940227,0.37171487003808695,0.5548979185054713,2.9155709574747886,False
PRR12,0.2632160662327833,0.0012683796273390139,-0.2077672521110035,0.05544881412177981,0.5548979185054713,2.8967507422088907,False
HAPLN3,0.2988987296203233,0.0015108947166235906,0.061529030455231705,0.36042776007555505,0.5548979185054713,2.820765797462736,False
PLEKHH1,0.28375232183085064,0.0012205954373240143,0.03126226942005103,0.31501459125090164,0.5548979185054713,2.913428257801273,False
RRAGB,0.2017922141230883,0.0017888496244362728,0.06384715263649621,0.2656393667595845,0.6016206700329699,2.747426165873329,False
DOK7,0.3188271038623338,0.0019262113099064824,0.26876111175025696,0.5875882156125908,0.605359058737451,2.7152960714729377,True
SCHIP1,0.4448280826833359,0.0021341520503830726,-0.255657412555101,0.1891706701282349,0.605359058737451,2.6707746419453247,True
PNOC,0.3841208491027945,0.0020391764928287715,0.02692410324173681,0.4110449523445313,0.605359058737451,2.6905451839597347,True
LOC477940,0.21099379463635012,0.002238071589184636,-0.08899085604527059,0.12200293859107954,0.617215382865339,2.6501260258100836,False
RHOV,-0.19544393962478362,0.00030353361716970047,0.06570931232247539,-0.12973462730230823,0.48131514727927144,3.517793202635553,False
CCL28,-0.43377796843987104,0.00028412047206727065,0.24233262255754612,-0.19144534588232492,0.48131514727927144,3.5464974724174105,True
LOC483802,-0.4956349097660283,0.0003260843153648139,0.5167384688993348,0.02110355913330653,0.48131514727927144,3.486670090229099,True
SLC24A5,-0.32956751758480407,0.0001641228041660292,-0.026342381505564255,-0.35590989909036835,0.48131514727927144,3.784831071382014,True
ABCA4,-0.16934753321840668,0.0003595160313834309,0.022047900956397144,-0.14729963226200954,0.48131514727927144,3.4442817389775433,False
OR4S2,-0.3446832407807622,0.0004699950743594279,0.19457867701056675,-0.15010456377019543,0.4985201600263194,3.3279066935317925,True
LOC489434,-0.4640912036975518,0.0006611911130038679,-0.11942870332516603,-0.5835199070227178,0.5065091254005741,3.1796729923651377,True
NAA40,-0.18606330766299856,0.0005613870714182866,0.08679586656979404,-0.09926744109320451,0.5065091254005741,3.2507375932625884,False
EPS8,-0.24372830324661388,0.0005940644699100606,0.028349592887692288,-0.2153787103589216,0.5065091254005741,3.226166421337218,False
NRG2,-0.16727691035215772,0.0007657960375890497,0.11028959039456818,-0.056987319957589544,0.5279780781157704,3.1158868851255246,False
CWH43,-0.4451012964300335,0.0015291987020964472,-0.21036972885099756,-0.6554710252810311,0.5548979185054713,2.8155360792592026,True
LOC484759,-0.17557862716537423,0.0009727857987055531,0.10471732882834733,-0.0708612983370269,0.5548979185054713,3.011982778109203,False
PHLDB1,-0.34576712697888257,0.0011145792459341297,0.3914328214163804,0.04566569443749786,0.5548979185054713,2.9528890480016927,True
LRRC4C,-0.27870849315881985,0.0014938854931638337,-0.12786991782135718,-0.406578410980177,0.5548979185054713,2.8256826900660936,False
SYNPO2L,-0.1184685456051668,0.001413327930810086,0.12808850607461697,0.009619960469450165,0.5548979185054713,2.849757058238146,False
ABHD15,-0.18676224451391094,0.001363927069361791,0.09138927236993337,-0.09537297214397755,0.5548979185054713,2.86520885124884,False
CLGN,-0.2239469791175945,0.0013138818809783912,0.1783832219998598,-0.045563757117734714,0.5548979185054713,2.881443676439182,False
ZRANB1,-0.1309993906934892,0.0012974144976414482,0.054970532259811654,-0.07602885843367754,0.5548979185054713,2.886921253461054,False
NANS,-0.2048772422377298,0.0015734802224480753,0.1484596188892853,-0.05641762334844448,0.5563261227522183,2.8031387114960085,False
ABCG4,-0.3956566904206989,0.0017470222651244029,0.3826913036247198,-0.012965386795979097,0.6016206700329699,2.7577015600662684,True
CCDC7,-0.3339743111013178,0.0020750307474483236,-0.13277668994103592,-0.46675100104235373,0.605359058737451,2.682975463603356,True
CDH2,-0.4054294416856266,0.0019302534363817541,-0.10684726589005872,-0.5122767075756853,0.605359058737451,2.714385665709259,True
ANXA9,-0.23544867121312238,0.0020242709127675784,0.0649324887678085,-0.17051618244531389,0.605359058737451,2.6937313653269985,False
ERLIN1,-0.14718101325134975,0.002151178031629204,0.08918687653649993,-0.05799413671484982,0.605359058737451,2.6673236458865257,False
XPC,-0.19302268019984184,0.002063414542718305,0.06930782391531277,-0.12371485628452907,0.605359058737451,2.6854135129239083,False
